id,airport_code,spirit_animal,email,app_name,material_type
"1","FOK","Red-billed toucan","kstadding0@aol.com","Namfix","Glass",
"2","TZL","Eastern grey kangaroo","dpapworth1@shareasale.com","Y-Solowarm","Wood",
"3","KND","Indian jackal","gkelberer2@cyberchimps.com","Daltfresh","Vinyl",
"4","KMC","Lemur, sportive","dgannicleff3@rakuten.co.jp","Matsoft","Rubber",
"5","PCJ","Puku","casipenko4@washington.edu","Stringtough","Granite",
"6","KES","Northern fur seal","rcrowdy5@spotify.com","Y-find","Steel",
"7","CTF","Oystercatcher, blackish","hmulberry6@cargocollective.com","Zamit","Glass",
"8","LUN","Red phalarope","desley7@wikimedia.org","Treeflex","Wood",
"9","SMZ","Aardwolf","dfidele8@ft.com","Namfix","Brass",
"10","GAF","Stork, jabiru","cthyng9@mozilla.org","It","Stone",
"11","OTS","Kori bustard","alutena@pcworld.com","Fixflex","Aluminum",
"12","INK","Tortoise, burmese black mountain","jwendenb@cpanel.net","Tresom","Vinyl",
"13","JBK","Wolf, mexican","dgeric@oakley.com","Regrant","Vinyl",
"14","ROK","Dragonfly, russian","bduggand@miitbeian.gov.cn","Zaam-Dox","Aluminum",
"15","BBW","Giant girdled lizard","ftrenholme@cnn.com","Aerified","Aluminum",
"16","YJP","Black and white colobus","xvonderemptenf@eepurl.com","Sonair","Plastic",
"17","NSN","Bushbaby, large-eared","qsterricksg@zdnet.com","Konklab","Rubber",
"18","TMS","Roseat flamingo","jnickersonh@ca.gov","Regrant","Rubber",
"19","HTY","Red-tailed hawk","mcastanonei@dot.gov","Span","Aluminum",
"20","TOB","Whale, baleen","somanj@tinypic.com","Wrapsafe","Granite",
"21","SCX","Brown hyena","lhavenhandk@ycombinator.com","Tresom","Plastic",
"22","YVG","Greylag goose","rvineyl@infoseek.co.jp","Holdlamis","Plexiglass",
"23","WUG","Small-clawed otter","rfeakinsm@xing.com","Namfix","Vinyl",
"24","FEB","Asian foreset tortoise","epetrovicn@telegraph.co.uk","Trippledex","Wood",
"25","TJM","Waved albatross","dpeleo@nps.gov","It","Steel",
"26","RSH","Civet, small-toothed palm","eyakuntzovp@ihg.com","Bitchip","Steel",
"27","PHD","Rose-ringed parakeet","hheatherq@google.co.uk","Subin","Steel",
"28","IIS","Blue and gold macaw","cperringtonr@ocn.ne.jp","Y-find","Brass",
"29","SUI","Gull, herring","ndionisis@sbwire.com","Cardguard","Plexiglass",
"30","LCQ","Madagascar fruit bat","hduhigt@cmu.edu","Lotlux","Plexiglass",
"31","NRS","Seal, southern elephant","cjessettu@fastcompany.com","Fixflex","Glass",
"32","CMT","Steller's sea lion","pfittv@discuz.net","Domainer","Vinyl",
"33","FDR","Falcon, prairie","hfoxw@amazon.de","Tampflex","Stone",
"34","KIU","Madagascar fruit bat","hbuttenx@japanpost.jp","Transcof","Granite",
"35","PHE","Greater sage grouse","sflorioy@economist.com","Zathin","Plastic",
"36","SBD","White-tailed jackrabbit","cchateletz@netvibes.com","Kanlam","Brass",
"37","AVB","Bird, secretary","cdabrowski10@wikispaces.com","Sonair","Vinyl",
"38","COA","Gecko, tokay","dcopeman11@globo.com","It","Plexiglass",
"39","LST","Scaly-breasted lorikeet","opitbladdo12@accuweather.com","Keylex","Wood",
"40","VIH","Sunbird, lesser double-collared","sschuler13@multiply.com","Treeflex","Glass",
"41","BTC","Turaco, violet-crested","thelversen14@guardian.co.uk","Wrapsafe","Aluminum",
"42","YRD","Kalahari scrub robin","bgeist15@biglobe.ne.jp","Alphazap","Aluminum",
"43","FBM","White-mantled colobus","ebish16@tmall.com","Zathin","Aluminum",
"44","YZY","Eastern diamondback rattlesnake","gheistermann17@weather.com","Treeflex","Vinyl",
"45","TNN","Yellow-billed hornbill","rbarnett18@alibaba.com","Bigtax","Granite",
"46","KMM","Cape white-eye","swadeling19@friendfeed.com","Toughjoyfax","Aluminum",
"47","FRT","Bee-eater, carmine","epalk1a@tuttocitta.it","Biodex","Brass",
"48","ECS","Gecko, ring-tailed","rsmy1b@imgur.com","Biodex","Granite",
"49","YPR","Crow, american","mmoodie1c@wiley.com","Cookley","Granite",
"50","MPT","Great white pelican","kpercy1d@omniture.com","Lotstring","Granite",
"51","URT","Pelican, eastern white","ranlay1e@ask.com","Aerified","Granite",
"52","GCT","Fox, pampa gray","rgrandison1f@comsenz.com","Bitwolf","Plexiglass",
"53","LKZ","Asian lion","mroyce1g@webs.com","Fix San","Plexiglass",
"54","KIL","Hen, sage","cyanele1h@archive.org","Zontrax","Glass",
"55","BRU","Shrike, southern white-crowned","ajanoch1i@java.com","Flexidy","Vinyl",
"56","CEA","Mara","cfaulds1j@ted.com","Vagram","Stone",
"57","HWN","North American porcupine","nproven1k@census.gov","Vagram","Plastic",
"58","KAJ","Waxbill, black-cheeked","ehunnywell1l@hud.gov","Zontrax","Stone",
"59","GVR","Pelican, great white","jpassler1m@google.fr","Y-find","Wood",
"60","WIU","Wallaby, euro","emaudlin1n@webnode.com","Cardify","Aluminum",
"61","BCN","Paddy heron (unidentified)","lgulland1o@aboutads.info","Pannier","Wood",
"62","JOE","Red-legged pademelon","mhebblethwaite1p@yale.edu","Bytecard","Glass",
"63","BDJ","Goose, greylag","mlanghor1q@globo.com","Hatity","Brass",
"64","CGI","Little brown bat","hmoukes1r@bloglines.com","Konklab","Steel",
"65","DRT","Turkey, wild","pastbery1s@google.com","Flexidy","Steel",
"66","SDF","Oystercatcher, blackish","mtwohig1t@purevolume.com","Tresom","Plexiglass",
"67","KMW","Bleu, blue-breasted cordon","hcoult1u@wsj.com","Konklux","Granite",
"68","TIW","Sheathbill, snowy","jfilpi1v@dailymotion.com","Tempsoft","Vinyl",
"69","PCR","Puna ibis","bbartolijn1w@newsvine.com","Holdlamis","Plastic",
"70","AXB","Tasmanian devil","rkorn1x@about.me","Fintone","Plastic",
"71","KGS","Lizard, desert spiny","mchallicombe1y@nps.gov","Treeflex","Stone",
"72","CDY","Robin, kalahari scrub","bkellock1z@techcrunch.com","Prodder","Aluminum",
"73","UIT","Agouti","nizen20@amazon.com","Ventosanzap","Vinyl",
"74","SNC","Water legaan","lletherbury21@yahoo.com","Domainer","Aluminum",
"75","MIP","Turkey, wild","rdevaen22@ted.com","Ronstring","Plastic",
"76","ISL","Woylie","jdimitriou23@flavors.me","Daltfresh","Wood",
"77","TKD","Prehensile-tailed porcupine","warney24@cnbc.com","Lotstring","Brass",
"78","EWE","Black kite","amulcaster25@linkedin.com","Prodder","Steel",
"79","NIB","Killer whale","ddadley26@google.pl","Bitwolf","Aluminum",
"80","UTS","Grey mouse lemur","jbrigham27@naver.com","Tresom","Steel",
"81","FBK","Yellow baboon","rveart28@nih.gov","Vagram","Plexiglass",
"82","ASN","Dove, mourning collared","ddoddridge29@paypal.com","Latlux","Rubber",
"83","AEQ","Jackal, black-backed","shamm2a@unc.edu","Lotlux","Stone",
"84","REE","Southern tamandua","bdwire2b@fema.gov","Flexidy","Wood",
"85","AUG","Indian jackal","ljurisch2c@squidoo.com","Zamit","Rubber",
"86","SEB","Admiral, indian red","mrigler2d@gnu.org","Kanlam","Brass",
"87","WRO","Common melba finch","tprendergast2e@shop-pro.jp","Lotlux","Rubber",
"88","MRQ","Armadillo, common long-nosed","blaying2f@amazon.co.jp","Flowdesk","Vinyl",
"89","OZH","Cougar","cgrigolli2g@jigsy.com","Stim","Wood",
"90","MEC","Asian false vampire bat","elethley2h@google.es","Y-find","Stone",
"91","QJP","Dove, laughing","bbetton2i@imgur.com","Tresom","Aluminum",
"92","PHY","Indian jackal","mjore2j@g.co","Redhold","Glass",
"93","ELX","Cape starling","mbisset2k@goo.gl","Job","Plexiglass",
"94","LUY","Eastern box turtle","ashorthouse2l@ezinearticles.com","Matsoft","Granite",
"95","YGK","American black bear","abowditch2m@usgs.gov","Keylex","Stone",
"96","RDG","Masked booby","adriffill2n@nhs.uk","Konklux","Plexiglass",
"97","TOI","White-necked raven","hbartelet2o@a8.net","Ventosanzap","Vinyl",
"98","ASP","Alligator, mississippi","idadge2p@huffingtonpost.com","Sonair","Rubber",
"99","DRN","Hyena, striped","mreimer2q@e-recht24.de","Prodder","Stone",
"100","DEF","Otter, brazilian","kstuttard2r@about.com","Zoolab","Stone",
"101","HVE","Indian red admiral","dconrard2s@cafepress.com","Zontrax","Aluminum",
"102","SXU","Black rhinoceros","gjackways2t@arstechnica.com","Latlux","Aluminum",
"103","CGZ","Black spider monkey","sduncklee2u@csmonitor.com","Flexidy","Glass",
"104","WAO","American badger","smckinley2v@vinaora.com","Biodex","Brass",
"105","VNS","Hornbill, yellow-billed","tredholls2w@cargocollective.com","Bigtax","Aluminum",
"106","BNK","African wild cat","kballard2x@elegantthemes.com","Konklux","Granite",
"107","DLR","Siskin, yellow-rumped","pkrout2y@umich.edu","Subin","Plexiglass",
"108","XTL","Phalarope, grey","ggrimble2z@cbsnews.com","It","Rubber",
"109","WKL","Greater kudu","ldominichelli30@nydailynews.com","Prodder","Steel",
"110","TAL","Common pheasant","dhabbal31@angelfire.com","Job","Wood",
"111","ZZO","Galapagos mockingbird","lgrandison32@adobe.com","Wrapsafe","Wood",
"112","GLD","Margay","bhayward33@springer.com","Gembucket","Steel",
"113","LGM","Possum, golden brush-tailed","scookney34@sogou.com","Sub-Ex","Rubber",
"114","UAP","Water legaan","mroote35@a8.net","It","Wood",
"115","UIO","Stone sheep","hbleythin36@springer.com","Fix San","Stone",
"116","VCP","Green heron","ccollcott37@pbs.org","Y-Solowarm","Stone",
"117","MAG","Galapagos tortoise","qcatt38@yandex.ru","Duobam","Plastic",
"118","KAL","Fox, pampa gray","kselland39@yandex.ru","Subin","Wood",
"119","TTH","Gecko, bent-toed","rebhardt3a@lulu.com","Voyatouch","Rubber",
"120","AZT","Heron, goliath","sbart3b@opera.com","Treeflex","Granite",
"121","HUF","Burrowing owl","ghaslocke3c@mac.com","Bigtax","Stone",
"122","NRG","Starling, red-shouldered glossy","klanchberry3d@flavors.me","Aerified","Granite",
"123","MHZ","Western palm tanager (unidentified)","rcollabine3e@bloomberg.com","Duobam","Plastic",
"124","LPJ","Woodchuck","mcossell3f@nifty.com","Duobam","Glass",
"125","GPL","Pelican, great white","tbrandoni3g@webs.com","Andalax","Stone",
"126","CIH","Galapagos albatross","lbehagg3h@cornell.edu","Biodex","Granite",
"127","YCC","Northern fur seal","cmedforth3i@people.com.cn","Vagram","Plexiglass",
"128","CPU","Black-faced kangaroo","rflaune3j@360.cn","Job","Wood",
"129","SPZ","Langur, hanuman","lgjerde3k@hhs.gov","Stronghold","Aluminum",
"130","NDC","Miner's cat","dbernaldo3l@nifty.com","Flexidy","Wood",
"131","BDN","Turkey, australian brush","ethiem3m@cnet.com","Zathin","Granite",
"132","BNX","Fox, asian red","mdevorill3n@mapy.cz","Latlux","Rubber",
"133","BCX","Brown lemur","fbarczewski3o@reverbnation.com","Fintone","Stone",
"134","WIL","Swan, black","mdoiley3p@hao123.com","Solarbreeze","Stone",
"135","YNJ","Fowl, helmeted guinea","bivins3q@youtu.be","Temp","Vinyl",
"136","NVG","Ring-tailed possum","lkornilov3r@java.com","Bigtax","Glass",
"137","TWU","Vervet monkey","cmulryan3s@imdb.com","Job","Vinyl",
"138","MFI","Frilled lizard","dpeaseman3t@goodreads.com","Stim","Plexiglass",
"139","SID","Large-eared bushbaby","jtague3u@storify.com","Zamit","Rubber",
"140","0","Magistrate black colobus","wcowlas3v@mayoclinic.com","Matsoft","Wood",
"141","KKP","Fox, pampa gray","tjakovijevic3w@wisc.edu","Bigtax","Steel",
"142","FMO","Timber wolf","dguiel3x@amazon.com","Home Ing","Wood",
"143","BGC","Boat-billed heron","adurbin3y@com.com","Latlux","Aluminum",
"144","TLK","Lourie, grey","clantoph3z@princeton.edu","Tampflex","Wood",
"145","TPG","Cormorant, flightless","akeher40@dedecms.com","Toughjoyfax","Aluminum",
"146","JCT","Black-eyed bulbul","lyearron41@ycombinator.com","Tresom","Plexiglass",
"147","PBI","Water moccasin","kpuddle42@goo.ne.jp","Trippledex","Steel",
"148","VBG","Squirrel, arctic ground","smillgate43@cornell.edu","Veribet","Vinyl",
"149","NPE","Osprey","mbultitude44@dmoz.org","Span","Aluminum",
"150","LLI","Goldeneye, common","hcasbourne45@spiegel.de","Y-Solowarm","Plexiglass",
"151","AJK","Glider, feathertail","doconnell46@newsvine.com","Konklux","Aluminum",
"152","TKE","Buttermilk snake","cmoulin47@livejournal.com","Ronstring","Glass",
"153","LYA","Cape starling","troberti48@ebay.com","Flexidy","Wood",
"154","MON","Small-toothed palm civet","mcranke49@nifty.com","Latlux","Aluminum",
"155","KSE","Jungle kangaroo","kspeenden4a@imdb.com","Hatity","Wood",
"156","PTX","White-nosed coatimundi","dpreator4b@japanpost.jp","Daltfresh","Vinyl",
"157","IRK","Iguana, common green","kladbrooke4c@issuu.com","Temp","Plexiglass",
"158","BSS","Iguana, land","zpiper4d@ustream.tv","Overhold","Plexiglass",
"159","SAK","Fairy penguin","dpaoletti4e@blinklist.com","Regrant","Plastic",
"160","OLL","Red-necked phalarope","mpatullo4f@mail.ru","Bitchip","Plastic",
